Volume,ETF_Attention_Index,Stock_Attention_Index,Dividend_Attention_Index,Beginner_Attention_Index,Macro_Attention_Index,Tech_Attention_Index
0050.TW_Volume_norm,0.23,0.2,0.14,0.13,0.18,0.14
006208.TW_Volume_norm,0.01,0.36,-0.16,-0.19,0.1,0.2
00878.TW_Volume_norm,0.27,0.15,0.11,0.16,0.11,0.05
00713.TW_Volume_norm,-0.02,0.34,-0.2,-0.12,0.1,0.14
2330.TW_Volume_norm,0.34,0.39,0.27,0.3,0.21,0.27
2303.TW_Volume_norm,0.24,0.32,0.3,0.26,0.2,0.1
2412.TW_Volume_norm,0.14,0.45,0.28,0.28,0.19,0.32
3008.TW_Volume_norm,-0.04,0.36,0.02,-0.08,0.16,0.34
2881.TW_Volume_norm,-0.06,0.44,-0.08,-0.03,0.2,0.31
2882.TW_Volume_norm,0.14,0.51,0.2,0.22,0.25,0.31
0056.TW_Volume_norm,0.01,0.26,-0.01,-0.06,0.05,0.15
9917.TW_Volume_norm,-0.13,0.02,-0.24,-0.24,-0.21,-0.29
1101.TW_Volume_norm,0.1,0.37,0.2,0.26,0.14,0.2
2884.TW_Volume_norm,0.12,0.34,0.06,0.17,0.12,0.14
2603.TW_Volume_norm,0.03,0.03,0.17,0.19,0.06,-0.05
1301.TW_Volume_norm,-0.21,0.17,-0.38,-0.26,-0.1,-0.01
2308.TW_Volume_norm,0.27,0.43,0.36,0.32,0.31,0.23
3034.TW_Volume_norm,0.46,0.23,0.53,0.61,0.11,0.17
2454.TW_Volume_norm,0.35,0.17,0.42,0.41,0.2,0.17
