Ticker,p-value
0050.TW_Volume_norm,0.8185
006208.TW_Volume_norm,0.787
00878.TW_Volume_norm,0.1984
00713.TW_Volume_norm,0.8919
2330.TW_Volume_norm,0.7298
2303.TW_Volume_norm,0.4941
2412.TW_Volume_norm,0.6533
3008.TW_Volume_norm,0.088
2881.TW_Volume_norm,0.5375
2882.TW_Volume_norm,0.7632
0056.TW_Volume_norm,0.5288
9917.TW_Volume_norm,0.3014
1101.TW_Volume_norm,0.1209
2884.TW_Volume_norm,0.827
2603.TW_Volume_norm,0.6663
1301.TW_Volume_norm,0.9205
2308.TW_Volume_norm,0.9049
3034.TW_Volume_norm,0.1193
2454.TW_Volume_norm,0.7193
