Ticker,t-statistic,p-value
0050.TW_Volume_norm,-3.387659247981526,0.0027135978956889847
006208.TW_Volume_norm,-3.417347044971926,0.002636668476345934
00878.TW_Volume_norm,0.6797112481077885,0.512431476371608
00713.TW_Volume_norm,-2.47668935551609,0.03247239393243576
2330.TW_Volume_norm,-1.461935075280363,0.16363058909365405
2303.TW_Volume_norm,0.559056441110118,0.5968390497320932
2412.TW_Volume_norm,1.5081465420685405,0.18859161964393137
3008.TW_Volume_norm,-4.955087648675672,8.957022268852208e-05
2881.TW_Volume_norm,0.7770356623640569,0.46385453598342685
2882.TW_Volume_norm,2.1585888617790308,0.07062241636880508
0056.TW_Volume_norm,-4.3420007050983855,0.0001601085679679531
9917.TW_Volume_norm,-2.3438001150274137,0.023107107012263962
1101.TW_Volume_norm,2.2757873063755274,0.06059410334045829
2884.TW_Volume_norm,2.3237920406747476,0.06185202303305578
2603.TW_Volume_norm,2.7282410219675928,0.03865305683907787
1301.TW_Volume_norm,-2.273924003696742,0.04357686466147297
2308.TW_Volume_norm,0.244296429590659,0.8128467808735802
3034.TW_Volume_norm,2.7692149233761465,0.030519424305347164
2454.TW_Volume_norm,0.4524842296019649,0.6653783893299849
